"Fiscal Year",PA,US
2001,1.38400,2.93600
2002,1.20300,2.98500
2003,1.19700,3.36300
2004,2.25100,4.16600
2005,2.77100,3.81500
2006,3.52300,3.71900
2007,3.81300,3.89900
2008,4.51100,4.21700
2009,4.40200,4.44400
2010,4.93400,4.60200
2011,5.60000,4.89100
2012,6.17700,5.01800
2013,6.69900,5.17300
2014,7.52700,5.61500
2015,8.06600,5.82000
2016,8.05900,6.06500
2017,8.64800,6.03300
2018,6.83100,6.36500
2019,7.79800,6.20800
2020,6.87500,6.61900
2021,7.35200,6.28500
2022,17.21400,6.74900
2023,8.08500,6.61900
